title;category_0;category_1;price;weight;color;country
Экран на батарею шестисекционный, металл;Декоративные элементы для дома;Столярные изделия;567;1.809;Белый;Россия
Экран для радиатора Дамаско 120х60 см, цвет белый;Декоративные элементы для дома;Столярные изделия;583;2.656;Белый;Россия
Экран на батарею 5 секций 62х47х15 см;Декоративные элементы для дома;Столярные изделия;432;1.55;;Россия
Решётка декоративная 60х120 см цвет белый;Декоративные элементы для дома;Столярные изделия;365;2.05;Белый;Россия
Экран для радиатора Дамаско 90х60 см, цвет белый;Декоративные элементы для дома;Столярные изделия;541;1.988;Белый;Россия
Экран на батарею 4 секции 62х37х15 см;Декоративные элементы для дома;Столярные изделия;397;1.22;;Россия
Решётка декоративная 60х90 см цвет белый;Декоративные элементы для дома;Столярные изделия;292;1.55;Белый;Россия
Экран для радиатора Сусанна 120х60 см, цвет белый;Декоративные элементы для дома;Столярные изделия;675;2.542;Белый;Россия
Крышка для экрана универсальная 120 см, цвет белый;Декоративные элементы для дома;Столярные изделия;410;1.35;Белый;Россия
Экран для радиатора Сусанна 120х60 см, цвет сонома;Декоративные элементы для дома;Столярные изделия;675;2.53;Сонома;Россия
Кронштейн для экрана универсальный, металл;Декоративные элементы для дома;Столярные изделия;152;0.154;Белый;Россия
Боковины для экрана универсальные, цвет белый;Декоративные элементы для дома;Столярные изделия;338;2.068;Белый;Россия
Экран для радиатора Сусанна 90х60 см, цвет дуб серый;Декоративные элементы для дома;Столярные изделия;570;2.066;Дуб серый;Россия
Экран для радиатора Сусанна 120х60 см, цвет дуб серый;Декоративные элементы для дома;Столярные изделия;675;2.474;Дуб серый;Россия
Экран для радиатора Сусанна 90х60 см, цвет белый;Декоративные элементы для дома;Столярные изделия;570;2.008;Белый;Россия
Экран для радиатора Дамаско 90х60 см, цвет венге;Декоративные элементы для дома;Столярные изделия;570;2.028;Венге;Россия
Крышка для экрана универсальная 90 см, цвет белый;Декоративные элементы для дома;Столярные изделия;348;1.05;Белый;Россия
Брусок рамный 60x2000 мм цвет бук;Декоративные элементы для дома;Столярные изделия;368;1.038;Бук;Россия
Экран на батарею 3 секции 62х27х15 см;Декоративные элементы для дома;Столярные изделия;356;0.988;;Россия
Боковины для экрана универсальные, цвет серый дуб;Декоративные элементы для дома;Столярные изделия;338;1.59;Дуб серый;Россия
Экран для радиатора Дамаско 90х60 см, цвет сонома;Декоративные элементы для дома;Столярные изделия;570;2.05;Сонома;Россия
Экран для радиатора Цветы 120х60 см, цвет сонома;Декоративные элементы для дома;Столярные изделия;1 177;3.345;Сонома;Россия
